Primary Type,District,arrest_rate,total_cases
OBSCENITY,15,0.7895,19
OBSCENITY,16,0.75,48
OBSCENITY,17,0.76,25
OBSCENITY,18,0.6842,19
OBSCENITY,19,0.8108,37
OBSCENITY,20,0.9286,14
OBSCENITY,22,0.52,25
OBSCENITY,24,0.6897,29
OBSCENITY,25,0.5385,39
OFFENSE INVOLVING CHILDREN,1,0.1532,359
OFFENSE INVOLVING CHILDREN,2,0.092,1130
OFFENSE INVOLVING CHILDREN,3,0.1266,1580
OFFENSE INVOLVING CHILDREN,4,0.109,2138
OFFENSE INVOLVING CHILDREN,5,0.111,1486
OFFENSE INVOLVING CHILDREN,6,0.0942,1816
OFFENSE INVOLVING CHILDREN,7,0.1364,1503
OFFENSE INVOLVING CHILDREN,8,0.1227,2257
OFFENSE INVOLVING CHILDREN,9,0.1619,1458
OFFENSE INVOLVING CHILDREN,10,0.175,1423
OFFENSE INVOLVING CHILDREN,11,0.1749,1469
OFFENSE INVOLVING CHILDREN,12,0.1296,926
OFFENSE INVOLVING CHILDREN,14,0.1263,578
OFFENSE INVOLVING CHILDREN,15,0.1396,1017
OFFENSE INVOLVING CHILDREN,16,0.158,924
OFFENSE INVOLVING CHILDREN,17,0.1645,754
OFFENSE INVOLVING CHILDREN,18,0.1736,363
OFFENSE INVOLVING CHILDREN,19,0.1547,472
OFFENSE INVOLVING CHILDREN,20,0.1929,280
OFFENSE INVOLVING CHILDREN,22,0.0821,1267
OFFENSE INVOLVING CHILDREN,24,0.158,715
OFFENSE INVOLVING CHILDREN,25,0.1763,1991
OFFENSE INVOLVING CHILDREN,31,0.1,10
OTHER NARCOTIC VIOLATION,1,0.75,16
OTHER NARCOTIC VIOLATION,2,0.5,2
OTHER NARCOTIC VIOLATION,3,0.0,2
OTHER NARCOTIC VIOLATION,4,0.0,1
OTHER NARCOTIC VIOLATION,5,1.0,1
OTHER NARCOTIC VIOLATION,6,0.3333,3
OTHER NARCOTIC VIOLATION,7,1.0,1
OTHER NARCOTIC VIOLATION,8,0.5,2
OTHER NARCOTIC VIOLATION,9,1.0,1
OTHER NARCOTIC VIOLATION,11,0.25,4
OTHER NARCOTIC VIOLATION,12,1.0,3
OTHER NARCOTIC VIOLATION,14,1.0,1
OTHER NARCOTIC VIOLATION,15,0.0,1
OTHER NARCOTIC VIOLATION,16,0.5,8
OTHER NARCOTIC VIOLATION,17,0.2,5
OTHER NARCOTIC VIOLATION,18,0.8,5
OTHER NARCOTIC VIOLATION,19,0.7143,7
OTHER NARCOTIC VIOLATION,20,1.0,1
OTHER NARCOTIC VIOLATION,24,0.3333,3
OTHER NARCOTIC VIOLATION,25,0.5,4
OTHER OFFENSE,1,0.1121,6120
OTHER OFFENSE,2,0.124,9593
OTHER OFFENSE,3,0.1976,10997
OTHER OFFENSE,4,0.2431,13334
OTHER OFFENSE,5,0.2863,10612
OTHER OFFENSE,6,0.2292,12864
OTHER OFFENSE,7,0.3004,11171
OTHER OFFENSE,8,0.1529,14195
OTHER OFFENSE,9,0.2239,8675
OTHER OFFENSE,10,0.2617,8840
OTHER OFFENSE,11,0.2491,10767
OTHER OFFENSE,12,0.1296,7925
OTHER OFFENSE,14,0.201,5170
OTHER OFFENSE,15,0.1894,7805
OTHER OFFENSE,16,0.128,9025
OTHER OFFENSE,17,0.1437,5624
OTHER OFFENSE,18,0.0814,4916
OTHER OFFENSE,19,0.1016,6045
OTHER OFFENSE,20,0.1235,3248
OTHER OFFENSE,22,0.1992,8012
OTHER OFFENSE,24,0.1162,5953
OTHER OFFENSE,25,0.2298,13084
OTHER OFFENSE,31,0.125,8
PROSTITUTION,1,0.9886,88
PROSTITUTION,2,0.9636,110
PROSTITUTION,3,1.0,56
PROSTITUTION,4,1.0,112
PROSTITUTION,5,0.989,454
PROSTITUTION,6,0.9923,130
PROSTITUTION,7,0.9952,620
PROSTITUTION,8,0.9572,631
PROSTITUTION,9,0.9897,195
PROSTITUTION,10,1.0,38
PROSTITUTION,11,0.9994,3561
PROSTITUTION,12,0.9766,128
PROSTITUTION,14,1.0,25
PROSTITUTION,15,0.9941,169
PROSTITUTION,16,0.9762,42
PROSTITUTION,17,0.9853,68
PROSTITUTION,18,0.9471,170
PROSTITUTION,19,0.963,27
PROSTITUTION,20,1.0,8
PROSTITUTION,22,1.0,8
PROSTITUTION,24,1.0,65
PROSTITUTION,25,0.9981,536
PUBLIC INDECENCY,1,0.9412,17
PUBLIC INDECENCY,2,1.0,4
PUBLIC INDECENCY,3,1.0,1
PUBLIC INDECENCY,4,1.0,2
PUBLIC INDECENCY,5,1.0,4
PUBLIC INDECENCY,6,1.0,5
PUBLIC INDECENCY,7,1.0,5
PUBLIC INDECENCY,8,1.0,9
PUBLIC INDECENCY,9,1.0,4
PUBLIC INDECENCY,10,1.0,8
PUBLIC INDECENCY,11,1.0,2
PUBLIC INDECENCY,12,1.0,3
PUBLIC INDECENCY,14,1.0,5
PUBLIC INDECENCY,15,1.0,4
PUBLIC INDECENCY,16,1.0,2
PUBLIC INDECENCY,17,1.0,2
PUBLIC INDECENCY,18,1.0,10
PUBLIC INDECENCY,19,0.8889,9
PUBLIC INDECENCY,20,1.0,2
PUBLIC INDECENCY,22,1.0,4
PUBLIC INDECENCY,24,0.8333,6
PUBLIC INDECENCY,25,1.0,4
PUBLIC PEACE VIOLATION,1,0.5242,1158
PUBLIC PEACE VIOLATION,2,0.5833,636
PUBLIC PEACE VIOLATION,3,0.6632,766
PUBLIC PEACE VIOLATION,4,0.7685,903
PUBLIC PEACE VIOLATION,5,0.7451,659
PUBLIC PEACE VIOLATION,6,0.7573,989
PUBLIC PEACE VIOLATION,7,0.75,980
PUBLIC PEACE VIOLATION,8,0.6181,1139
PUBLIC PEACE VIOLATION,9,0.6657,682
PUBLIC PEACE VIOLATION,10,0.7791,1227
PUBLIC PEACE VIOLATION,11,0.6903,1608
PUBLIC PEACE VIOLATION,12,0.5171,702
PUBLIC PEACE VIOLATION,14,0.5658,380
PUBLIC PEACE VIOLATION,15,0.6566,795
PUBLIC PEACE VIOLATION,16,0.2527,637
PUBLIC PEACE VIOLATION,17,0.5326,291
